id,vehicleType,startNodeId,endNodeId,startX,startY,endX,endY,length,width,height,weightKg,maxSpeedKmh,accelMps2,driverAge,responseTimeSec,homeAmenityId,homeDepotName
110,car,2960336640,9868746839,-1669.73,38.92,-785.96,566.28,4.76,1.83,1.36,1033,94.3,3.06,43,0.889,,
111,car,13737256532,trim_9582,-1755.66,648.45,-1332.59,-447.19,4.24,1.73,1.39,1560,92.2,2.45,64,0.812,,
112,car,trim_9007,trim_2356,-673.0529987692823,-470.8571746497108,-1748.83,-1002.1,4.5,1.93,1.55,1846,94.3,2.4,50,0.899,,
113,firetruck,trim_9675,8838171100,-1493.9799484953007,-1226.069541895515,-1266.63,-404.57,10.11,2.54,3.23,17182,90.2,1.73,35,0.529,a_11198925348,Police station (amenity a_11198925348)
114,car,10206503396,trim_296,1469.07,101.66,-2297.97,1400.66,4.42,1.94,1.42,1243,105.9,2.88,68,0.696,,
115,car,trim_1040,trim_4367,-814.83,231.73,1308.35,434.7,4.4,1.72,1.43,1782,96.8,2.21,64,0.895,,
116,car,9857987913,trim_890,-136.7,40.79,-1180.37,-344.41,5.05,1.87,1.39,1474,116.3,2.79,78,0.804,,
117,car,12889145977,2960312480,-1390.59,327.66,-1471.42,37.96,4.63,1.7,1.43,1089,91.4,2.52,65,0.695,,
118,car,trim_5063,2962861537,2475.53,6.93,-437.71,-1366.3,4.75,1.88,1.52,1794,102.1,2.79,49,0.652,,
119,car,trim_426,trim_8953,-1901.03,40.65,1132.99,1241.9,4.17,1.64,1.46,1662,91.6,2.93,63,0.827,,
120,car,trim_3483,trim_5772,436.63,-630.14,-1193.558683914409,-1461.767011830834,4.67,1.85,1.4,1888,114.0,2.7,51,0.888,,
121,car,trim_1349,trim_2061,-2290.37,-215.23,1319.91,1462.92,4.97,1.88,1.44,1772,118.4,2.61,56,0.861,,
122,car,2960336758,trim_6960,-1161.78,250.54,1388.81,821,4.08,1.68,1.38,1518,92.5,2.49,79,0.992,,
123,car,4227743807,trim_7010,874.47,467.12,-2349.884199968567,838.55,4.74,1.93,1.39,1448,110.6,2.88,31,0.751,,
124,motorcycle,trim_717,trim_220,-1297.85,981.04,422.74,-43.55,2.26,0.84,1.3,215,102.5,3.37,21,0.802,,
125,car,9168951452,11198935208,-310.95,-580.32,-1893.28,-679.83,5.02,1.87,1.62,1157,101.0,2.33,61,0.888,,
126,car,trim_7018,trim_6837,-2431.49,558.9,-2277.2,284.13,4.42,1.73,1.38,1823,97.5,2.74,31,0.723,,
127,car,trim_7066,trim_8335,-2151.13,698.54,-374.62,762.52,4.29,1.6,1.54,1354,117.7,3.13,20,0.914,,
128,car,12096791271,trim_4788,1142.71,88.35,-1430.1,1202.87,4.93,1.62,1.35,1414,99.0,2.31,60,0.873,,
129,car,11283754534,11362459495,672.4607486800514,801.3124022440479,-1612.49,-1411.74,4.39,1.64,1.5,1076,105.4,2.35,31,0.878,,
130,car,trim_232,trim_8577,961.68,377.43,-216.32,-1063.42,4.85,1.69,1.49,1337,100.9,3.09,50,0.677,,
131,motorcycle,trim_2950,trim_2675,-1608.82,1591.18,-2379.09,-748.87,2.22,0.69,1.17,175,90.8,4.31,41,0.678,,
132,car,trim_8715,trim_3915,-739.58,1240.09,1761.66,219.84,4.15,1.75,1.45,1028,110.0,3.15,50,0.68,,
133,car,trim_2769,trim_7306,-2451.72,448,-1294.94,-898.53,4.55,1.84,1.39,1676,113.4,2.6,65,0.683,,
134,car,trim_9094,trim_9370,1586.9,-327.83,1432.91,180.56,4.02,1.65,1.5,1691,97.1,2.88,59,0.757,,
135,car,9843084754,12143932396,-2253.59,983.53,719.74,862.19,4.01,1.77,1.43,1074,102.9,2.82,39,0.712,,
136,car,4227743663,9853262762,379,-1489.69,1407.04,-287.43,4.95,1.95,1.42,1739,96.0,2.91,29,0.825,,
137,car,trim_8531,4227743867,-2480.15,201.51,-1495.1,1153.46,4.2,1.95,1.53,1571,96.9,2.33,20,0.748,,
138,truck,trim_3167,trim_1771,624.17,16.25,-35.84,-1303.21,8.56,2.48,2.62,5561,68.1,0.88,45,0.705,,
139,car,trim_2694,trim_2891,-2484.89,888.56,-1950.03,685.6,4.07,1.75,1.37,1099,100.9,3.14,69,0.752,,
140,motorcycle,5170823252,trim_35,1633.94,492.37,-1000.59,875.22,1.82,0.66,1.31,142,94.2,4.36,28,0.758,,
141,car,trim_153,trim_2702,394.65,-763.65,-2299.58,698.96,4.4,1.71,1.38,1012,106.6,3.06,58,0.74,,
142,car,12130890823,trim_946,2342.62,560.64,-716.93,-393.16,4.82,1.81,1.53,1214,98.3,2.78,27,0.872,,
143,car,trim_4855,9168850590,207.71,-1112.72,-1497.96,576.07,4.82,1.64,1.53,1821,109.6,2.39,73,0.961,,
144,car,trim_6368,4225219771,2309.37,843.52,-876.29,-975.92,4.68,1.71,1.49,1685,106.0,2.35,32,0.698,,
145,truck,trim_1576,4227798505,-1242.35,-747.01,811.91,1486.25,7.52,2.56,3.61,14975,79.5,1.24,73,0.887,,
146,car,trim_3573,3840460039,630.24,-728.86,-2218.85,1304.35,4.07,1.75,1.63,1453,90.7,2.8,32,0.722,,
147,car,trim_6114,trim_4175,-1713.43,-4.96,1899.06,810.94,4.87,1.84,1.57,1358,110.5,3.07,25,0.691,,
148,car,trim_1948,2960299873,-547.63,-1540.2,-1623.93,216.3,4.42,1.87,1.47,1244,95.5,2.36,43,0.798,,
149,car,trim_4158,trim_9014,888.65,391.95,920.42,184.27,5.02,1.78,1.5,1649,97.8,3.05,53,0.827,,
150,car,trim_539,9168951488,-1336.42,-461.68,520.11,-1101.56,4.19,1.62,1.42,1035,94.4,3.08,33,0.718,,
151,car,9168946302,5170637547,1683.82,115.52,1068.01,245.37,4.71,1.69,1.6,1481,90.0,2.55,63,0.731,,
152,car,n_9780,trim_3905,-1380.5642558521636,446.08633759620574,1658.11,314.68,4.6,1.85,1.47,1550,99.7,2.26,17,0.976,,
153,car,9168951444,trim_9130,36.79,168.55,1833.52,1247.96,5.06,1.66,1.64,1484,119.4,2.98,29,0.831,,
154,car,9857635268,trim_1569,-573.32,-1025.55,-1241.59,-597.26,5.04,1.69,1.54,1544,96.2,2.64,57,0.717,,
155,car,trim_1186,9843127282,-1754.51,-798.51,-1447.46,575.09,4.89,1.86,1.4,1209,111.8,2.57,77,0.793,,
156,ambulance,trim_2223,trim_804,2206.52,-1465.35,-888.84,563.91,5.96,2.24,2.48,3639,128.3,2.78,52,0.455,a_1086642598_c,SHIKHA ACUPUNCTURE SANATORIUM
157,car,9859618313,4225324707,-776.53,-501.04,1908.75,295.65,4.2,1.74,1.53,1063,92.2,2.45,67,0.695,,
158,car,trim_1387,trim_1861,-2196.94,-494.45,-448.54,-649.09,4.8,1.88,1.53,1340,90.6,3.03,21,0.683,,
159,truck,11491502787,12143965275,248.77,-1596.23,699.16,787.83,7.61,2.58,3.28,13716,60.2,1.17,59,0.863,,
160,car,trim_4104,trim_106,783.14,642.85,-139.33,635.16,4.15,1.87,1.62,1734,99.2,2.68,47,0.664,,
161,firetruck,11133588049,9859738799,-1783.42,-995.27,-501.37,-1229.11,9.17,2.51,3.01,12356,90.9,1.68,69,0.525,a_11198955917,Police station (amenity a_11198955917)
162,car,trim_2266,9843408916,-233.74,-395.13,2658.28,1258.67,4.25,1.73,1.46,1258,117.7,2.88,30,0.773,,
163,car,trim_5193,trim_3501,1580.28,-456.95,-142.76,-334.05,4.11,1.93,1.46,1554,93.6,3.12,26,0.874,,
164,car,trim_3020,trim_4837,-1492.45,1332.43,-457.73,-913.52,4.2,1.79,1.53,1611,94.5,2.87,54,0.806,,
165,ambulance,9855373893,trim_2430,2303.61,-1268.27,-470.53,1461.91,5.85,2.03,2.81,3823,128.0,3.41,25,0.647,a_1408808783_c,Manipal Hospital
166,car,trim_8886,trim_1888,2060.83,-606.5,-360.68,-1244.03,4.86,1.65,1.39,1402,113.9,3.18,24,0.678,,
167,car,trim_3033,3085851345,-2453.15,1076.04,781.64,2343.89,4.31,1.63,1.65,1164,101.6,2.52,70,0.82,,
168,car,9852378912,trim_362,-1981.55,-1097.21,-1789.89,383.25,4.87,1.72,1.59,1589,97.4,2.62,79,0.925,,
169,car,4224980993,trim_1622,-2212.95,578.14,-1653.51,-574.98,4.59,1.68,1.38,1643,105.8,2.98,44,0.826,,
170,car,9859595985,trim_960,295.35,-1155.55,-762.93,-196.64,4.0,1.95,1.36,1503,118.7,3.12,23,0.878,,
171,motorcycle,trim_965,11909810139,-885.55,-145.67,2451.81,-803.65,2.22,0.84,1.1,179,105.1,3.83,69,0.751,,
172,car,4227798190,trim_3347,991.22,-119.79,-146.34,-333.3,4.06,1.65,1.64,1634,101.3,2.23,70,0.793,,
173,truck,trim_905,trim_7426,-1315.91,-64.73,1141.49,-227.95,9.98,2.32,3.59,14575,60.6,0.92,26,0.711,,
174,police,trim_9675,trim_5693,-1493.9799484953007,-1226.069541895515,721.38,-193.02,4.78,1.96,1.48,1709,132.3,3.9,54,0.568,a_11198925348,Police station (amenity a_11198925348)
175,car,3887993339,12127352323,1701.42,1155.5,-839.26,1815.64,4.49,1.83,1.35,1100,91.8,2.84,38,0.776,,
176,car,trim_4040,trim_3664,743.58,465.69,-1076.48,-1367.54,4.92,1.84,1.61,1499,114.9,3.12,80,0.877,,
177,car,trim_3341,trim_2455,-248.45,-188.74,-2364.85,803.41,5.02,1.7,1.38,1340,118.5,2.94,67,0.825,,
178,car,trim_6516,trim_6239,21.35,243.89,-833.61,-1176.42,4.2,1.86,1.52,1758,114.5,2.67,56,0.813,,
179,bus,trim_8062,trim_6617,-1818.04,-1323.49,1997.94,131.19,8.14,2.41,3.22,10545,66.7,0.86,62,0.801,,
180,car,trim_6631,trim_2420,2258.4,-983.19,-477.69,1514.55,4.03,1.7,1.51,1059,107.9,2.96,55,0.697,,
181,car,trim_3066,11015839403,52.89,591.63,-1024.15,88.32,5.02,1.68,1.38,1513,91.3,3.19,77,0.781,,
182,car,trim_2476,trim_3936,-45.35,1279.27,830.1,54.77,5.04,1.6,1.46,1254,101.9,2.39,66,0.841,,
183,car,4227743716,2960326184,261.18,-1151.23,-929.37,37.29,4.74,1.72,1.62,1453,105.1,2.98,19,0.857,,
184,car,trim_1572,2960299883,-1239.68,-600.25,-1986.16,660.81,4.64,1.9,1.44,1136,103.9,3.09,27,0.888,,
185,car,trim_212,9853276950,378.11,-300.89,1655.71,249.29,4.24,1.84,1.39,1647,119.8,2.7,59,0.762,,
186,car,trim_4934,trim_8714,264.13,-1200.67,-874.18,1140.05,4.32,1.82,1.63,1036,111.4,2.88,46,0.702,,
187,car,9168934140,trim_1878,2308.33,858.99,-386.07,-1070.13,4.62,1.95,1.38,1013,113.0,2.51,27,0.775,,
188,car,2960299962,11499173760,-1588.19,511.01,397.43,1514.58,4.19,1.7,1.37,1519,100.6,2.27,74,0.804,,
189,police,11133588049,trim_7191,-1783.42,-995.27,-1832.19,431.36,4.99,1.95,1.54,2154,138.2,4.17,78,0.59,a_11198955917,Police station (amenity a_11198955917)
190,car,9854981039,trim_9193,2099,-556.45,-641.9,1433.1,4.44,1.9,1.63,1116,101.0,3.04,56,0.743,,
191,car,trim_3683,9168911139,-732.15,-1250.24,-1848.59,-1009.96,4.56,1.69,1.61,1614,108.6,2.84,47,0.825,,
192,motorcycle,trim_1633,12144093195,-1523.66,-623.6,799.63,321.99,1.88,0.68,1.18,196,105.6,3.33,75,0.917,,
193,car,12889145977,trim_6912,-1390.59,327.66,-1888.72,859.31,4.52,1.79,1.6,1098,95.4,2.31,66,0.852,,
194,car,trim_3298,6928966656,-151.1,596.54,-1464.42,-1549.82,4.36,1.71,1.65,1438,111.1,2.68,51,0.764,,
195,car,trim_1538,11491162936,-1031.77,-1008.54,-210.36,-1064.09,5.04,1.65,1.41,1511,119.6,2.97,23,0.884,,
196,motorcycle,12131183359,trim_7415,-701.11,-381.7,1538.73,106.05,2.02,0.77,1.07,240,108.6,4.03,50,0.713,,
197,car,trim_9419,12143965275,-660.9913681928306,-443.41943047733247,699.16,787.83,4.16,1.7,1.37,1786,103.5,2.62,43,0.817,,
198,car,trim_7622,trim_1959,353.14,26.84,-66.8,2632.35,4.91,1.63,1.62,1308,112.6,2.36,60,0.885,,
199,motorcycle,trim_2889,trim_8970,-1986.64,971.73,-1817.63,566.33,2.07,0.85,1.39,176,107.4,3.86,17,0.91,,
200,motorcycle,4225077418,trim_115,-2261.29,989.34,-420.24,585.7,1.84,0.82,1.27,159,109.6,4.41,56,0.654,,
201,car,trim_2611,9168897708,-1391.32,731.99,-222.88,-1161.32,4.55,1.71,1.59,1607,97.9,2.92,73,0.966,,
202,car,9168959343,trim_3256,2231.84,-830.8,882.65,-720.08,4.7,1.82,1.52,1033,112.4,2.39,37,0.8,,
203,car,trim_3173,trim_1303,-443.09,141.74,-1384.43,251.68,4.23,1.67,1.55,1860,101.1,2.56,54,0.874,,
204,car,5171028513,4227798473,-2514.6,163.65,2093,536.59,4.95,1.84,1.54,1410,102.3,2.55,70,0.831,,
